2007;7;1.3;2;240;4;4;6.5;240;216;1330;290;61;444;177;134;270;6
2020;7;2;4;205;4;2;7.6;226;212;1258;195;50;423;178;129;257;6
2023;4;3;6;480;4;2;4.2;280;550;1700;440;59;480;189;139;286;6
2016;7;4;6;500;2;2;3.3;310;460;1420;125;64;455;188;129;246;7
1966;7;7;8;485;2;2;3.8;298;651;1068;296;159;396;173;122;229;4
2000;7;8;10;450;2;3;4.5;298;664;1569;334;70;449;192;122;244;6
1969;4;7;8;375;2;4;5.8;226;610;1755;229;76;476;181;130;274;4
2018;7;5.2;10;620;2;2;3.2;330;570;1270;0;118;446;192;117;262;6
1963;7;4;6;286;4;2;7.3;225;380;1466;363;86;457;168;135;249;4
1970;4;7.4;8;456;4;2;5.4;215;678;1477;413;76;501;192;134;285;4
2015;3;2.5;4;300;5;4;5.2;255;407;1500;460;60;460;180;148;265;6
2017;7;4;8;600;2;2;3.7;304;750;2195;0;90;480;194;139;275;8
2012;7;3.5;6;350;2;2;4;274;400;1161;134;40;308;180;113;237;6
1963;7;5.4;8;305;2;2;8.2;237;624;1525;297;76;445;177;127;243;4
2010;4;3.8;6;306;4;2;6;240;361;1560;332;65;463;186;138;282;6
2007;5;4.2;8;350;5;4;5.9;250;440;1770;546;80;492;186;146;284;6
2023;5;0;2;646;4;4;3.3;250;830;2347;350;0;499;196;141;290;2
2018;7;4;8;490;2;2;3.9;249;500;1113;0;120;501;195;125;275;6
1997;7;6;12;592;2;2;3.8;330;700;1000;0;90;486;195;110;267;6
2007;4;3;6;211;5;2;8.4;243;290;1687;400;67;482;187;140;273;6
1972;4;7.5;8;305;2;2;6.1;176;563;1694;205;64;500;185;128;275;4
2014;6;3.7;6;305;5;4;7.8;212;378;1821;569;60;515;194;154;287;6
2022;5;0;2;761;4;4;2.8;260;1050;2295;366;0;496;197;138;290;2
2018;7;3;6;380;2;2;5.5;275;460;1584;310;70;448;192;131;262;6
1973;7;2.4;6;195;2;2;7.1;238;225;1080;300;65;424;170;114;234;5
2001;7;2.7;6;220;2;2;6.6;250;260;1260;260;64;432;178;129;242;5
1977;7;2;4;160;4;2;6.8;221;221;900;198;68;419;186;111;244;5
2005;6;5;8;306;4;2;6.3;250;460;1810;450;88;499;186;140;289;7
2018;7;2;4;300;2;2;5.3;275;380;1335;150;54;438;180;128;248;6
2013;3;2;4;210;5;5;6.9;240;280;1318;350;55;421;179;147;258;6
1967;6;7;8;385;5;4;6.5;215;610;1740;813;91;542;203;138;302;4
2022;7;6.5;12;819;2;2;2.8;355;720;1595;63;70;487;210;114;270;7
2009;7;6.5;12;640;2;2;3.4;338;660;1830;140;100;461;206;114;267;6
2019;4;5;8;600;4;4;3.7;322;700;1745;450;75;471;208;144;284;8
2021;7;6.2;8;462;2;2;3.5;296;613;1730;357;70;463;193;124;272;8
2017;7;3.5;6;656;2;2;3.2;347;746;1385;501;57;476;200;111;271;7
2022;5;4.4;8;625;4;2;3.2;304;750;1900;420;68;487;191;136;283;8
1995;7;6;12;600;3;2;3;362;627;1060;285;90;429;182;114;272;6
2016;7;7;12;811;2;2;3;360;800;1350;0;120;481;206;124;280;6
2020;7;3.5;6;573;2;2;3.8;307;550;1725;110;59;447;223;121;263;9
1978;4;5.7;8;157;4;2;9.8;190;353;1626;312;79;500;186;125;275;3
2019;7;3.8;6;700;2;2;2.8;340;700;1470;115;64;455;188;130;245;7
2014;7;4.5;8;570;2;2;3.4;325;540;1380;229;86;453;194;121;265;7
2012;7;5.2;10;570;2;2;3.4;325;540;1430;110;90;435;190;117;256;6
2021;7;6.5;12;819;2;2;2.8;350;720;1601;140;85;498;210;113;270;7
2019;7;8;16;1600;2;2;2.4;492;1600;1995;57;100;473;218;121;271;7
2000;7;2.6;6;280;5;2;4.9;249;397;1560;180;65;460;179;136;267;6
2013;7;4.6;8;887;2;2;2.6;345;540;1674;110;70;464;194;117;273;7
2018;7;3.8;8;600;2;2;2.9;328;620;1247;150;72;460;193;119;267;7
2017;3;6.2;8;650;4;2;4;282;868;1763;257;72;478;190;133;281;6
2009;7;3.8;6;485;4;2;3.5;310;588;1740;315;74;465;190;137;278;6
2020;7;3;6;382;2;2;4.1;260;499;1542;289;52;438;185;130;247;8
2009;4;4;8;420;4;2;4.8;306;400;1655;450;63;462;180;142;276;6
2020;7;5.2;10;570;2;2;3.4;324;560;1660;112;83;443;194;124;265;7
2007;7;7;8;505;2;2;3.8;306;637;1440;634;68;446;193;124;269;6
2001;7;1.3;2;280;4;2;5.4;255;314;1240;160;76;429;176;123;243;5
2020;4;5.2;8;760;4;2;3.7;290;847;1905;382;61;483;195;138;272;7
2016;7;4;8;462;2;2;4;304;600;1615;456;65;455;194;129;263;7
2007;4;5.4;8;507;4;2;4.5;250;650;1780;348;61;477;188;138;273;6
2010;7;3.8;6;450;2;2;5;310;430;1370;105;67;446;181;128;236;6
2013;7;8.4;10;649;2;3;3.9;332;814;1556;114;70;446;194;125;251;6
2015;7;6.5;12;750;2;2;2.8;350;690;1525;140;90;484;203;114;270;7
2003;3;3.5;6;313;2;2;5.8;250;352;1545;235;80;431;182;132;265;6
2017;7;5.2;10;610;2;2;3.2;325;560;1422;99;83;446;192;117;262;7
2011;7;3.6;6;620;2;2;3.5;330;700;1370;105;90;447;185;129;235;6
2018;4;6.2;8;808;2;2;2.5;346;972;1939;459;70;502;200;146;295;8
2014;7;3.8;8;916;2;2;2.8;350;720;1395;120;71;459;195;119;267;7
2007;3;2.5;4;280;5;4;5.4;255;392;1495;401;60;447;174;144;253;6
2005;7;5.7;10;612;2;2;3.9;330;590;1380;76;92;461;192;117;273;6
2016;4;3;6;431;4;2;4.3;250;550;1497;445;60;467;187;138;281;6
2014;7;3.8;6;600;4;2;2.7;315;652;1660;315;74;468;190;137;278;6
2021;7;3;6;630;2;2;2.9;325;730;1500;150;60;467;197;122;270;8
2023;7;2.4;4;228;4;2;5.6;225;249;1277;178;50;428;178;131;258;6
1971;7;3.9;12;385;2;2;5.5;289;388;1298;140;77;436;178;105;250;5
2015;7;6.2;8;631;2;2;3.6;315;635;1550;176;85;464;197;126;268;7
2012;7;5.2;10;578;2;2;2.4;350;540;999;110;100;458;205;114;256;6
2012;7;6;12;517;2;2;4.2;306;560;1680;300;80;438;187;124;260;6
2016;7;6;12;750;2;2;3;383;1000;1218;156;100;472;193;117;280;7
2015;7;6.5;12;700;2;2;2.9;350;690;1575;140;90;478;203;114;270;7
2022;7;3;6;450;4;2;3.6;306;530;1565;132;67;452;185;130;245;8
2018;3;3;6;370;4;2;4.5;250;465;1495;390;52;447;185;121;269;6
2020;7;8;16;1500;2;2;2.4;380;1600;1995;57;100;464;202;121;271;7
2023;7;3.5;6;405;2;2;4.3;290;420;1405;151;58;441;190;123;258;6
2020;5;3.5;6;301;5;4;6.2;233;362;1610;399;55;488;184;145;282;8
1995;7;2;4;213;4;2;7;226;290;1305;241;64;438;175;130;251;5
1982;7;2.9;6;145;2;2;9.8;209;225;1233;396;52;427;199;114;241;5
1971;5;7.2;8;375;2;4;6;216;529;1840;438;72;516;201;134;292;4
2016;7;3.7;6;780;2;2;2.8;385;960;1400;110;90;450;200;118;263;6
1993;7;3.6;6;360;4;2;4.8;280;520;1470;90;77;428;178;129;227;5
1987;5;3.8;6;276;4;2;5.3;200;488;1576;462;69;508;183;136;275;4
1995;7;3;6;330;4;3;5.1;250;440;1570;185;70;452;181;128;250;6
1972;4;5;8;203;4;2;7.8;201;407;1560;178;79;478;189;130;274;3
1970;7;1.9;4;90;4;2;13;170;146;945;326;46;429;163;136;243;4
2017;4;3.5;6;333;5;4;5.2;250;480;1745;540;66;492;185;147;294;9
2014;4;3;6;306;5;4;5.5;250;400;1510;480;60;462;181;143;281;6
1973;7;2.7;6;255;4;2;6.3;240;255;1075;200;61;415;165;132;227;5
2008;3;2;4;240;5;5;6.4;247;300;1375;341;55;432;177;146;258;6
2006;3;2.3;4;260;5;5;6.1;250;380;1410;290;55;444;177;147;264;6
2000;7;5;8;306;2;2;6.5;250;460;1815;265;80;450;181;130;252;5
1998;7;3.2;6;360;4;2;6;265;499;1725;178;89;463;182;127;259;5
